DISTRICT,YEAR,monsoon_precip,monsoon_z,drought,mam_T2M,mam_T2M_MAX,mam_T2M_MIN,mam_T2M_RANGE,mam_RH2M,mam_QV2M,mam_PS,mam_WS10M,mam_PRECTOT,djf_T2M,djf_RH2M,djf_PRECTOT,prev_monsoon_precip,prev_monsoon_z,LAT,LON
Arghakhanchi,2011,1250.54,1.4170044481546469,0,25.433333333333334,32.64333333333333,19.003333333333334,13.64,33.77333333333333,7.623333333333332,93.07000000000001,2.893333333333333,144.21,14.33,46.72666666666667,29.27,1231.97,1.35857833259743,27.9,83.2
Arghakhanchi,2012,1312.65,1.612418882040417,0,26.189999999999998,33.89333333333334,19.266666666666666,14.626666666666665,25.00333333333333,5.63,92.97000000000001,3.263333333333333,39.28,14.51,46.026666666666664,49.26,1250.54,1.4170044481546469,27.9,83.2
Arghakhanchi,2013,1546.8500000000001,2.3492738235320823,0,25.62,33.10333333333333,19.153333333333332,13.950000000000001,33.81666666666667,7.3500000000000005,92.99000000000001,3.1333333333333333,118.85000000000001,13.71,51.92666666666667,88.99000000000001,1312.65,1.612418882040417,27.9,83.2
Arghakhanchi,2014,1393.87,1.8679584138420946,0,25.793333333333333,33.160000000000004,19.21,13.950000000000001,32.63333333333333,7.146666666666666,93.13333333333333,3.23,98.17,14.57,55.903333333333336,57.26,1546.8500000000001,2.3492738235320823,27.9,83.2
Arghakhanchi,2015,1129.95,1.0375965173498654,0,24.89,31.69666666666667,18.896666666666665,12.796666666666667,42.403333333333336,8.756666666666666,93.18666666666667,2.8466666666666662,223.68,14.986666666666666,50.49333333333333,77.12,1393.87,1.8679584138420946,27.9,83.2
Arghakhanchi,2016,1282.51,1.5175904963164255,0,27.186666666666667,34.50666666666667,20.75,13.76,28.74,6.95,93.01333333333334,3.393333333333333,171.64000000000001,15.846666666666666,35.95333333333333,10.87,1129.95,1.0375965173498654,27.9,83.2
Arghakhanchi,2017,1341.83,1.70422685468229,0,26.099999999999998,33.18666666666667,19.720000000000002,13.466666666666667,33.10333333333333,7.743333333333333,93.02,2.7866666666666666,184.72,16.316666666666666,42.78666666666667,20.759999999999998,1282.51,1.5175904963164255,27.9,83.2
Arghakhanchi,2018,43.72,-2.3799694224301993,1,25.74,32.833333333333336,19.456666666666667,13.38,35.88,8.17,93.06666666666666,2.9133333333333336,7.33,15.75,40.22666666666667,0.6,1341.83,1.70422685468229,27.9,83.2
Arghakhanchi,2019,42.83,-2.3827695970584126,1,25.603333333333335,33.02333333333333,19.03,13.996666666666668,34.5,7.526666666666666,93.10000000000001,3.0066666666666664,4.01,14.966666666666667,47.75,4.29,43.72,-2.3799694224301993,27.9,83.2
Baglung,1982,660.38,0.05331411709987951,0,14.416666666666666,21.153333333333332,8.493333333333332,12.663333333333334,45.47333333333333,5.8500000000000005,79.26,2.563333333333333,64.03999999999999,5.78,51.096666666666664,77.44999999999999,941.49,1.0673994020586246,28.3,83.6
Baglung,1983,407.71,-0.8581757941467006,1,14.63,21.743333333333336,8.446666666666667,13.296666666666667,37.04,5.023333333333333,79.21333333333332,2.763333333333333,71.37,5.803333333333334,38.669999999999995,9.45,660.38,0.05331411709987951,28.3,83.6
Baglung,1984,826.21,0.651534610162057,0,16.793333333333333,24.353333333333335,10.106666666666667,14.25,29.426666666666666,4.576666666666667,79.15333333333334,2.8433333333333337,25.229999999999997,5.993333333333333,37.153333333333336,29.790000000000003,407.71,-0.8581757941467006,28.3,83.6
Baglung,1985,612.03,-0.12110523307533784,0,16.713333333333335,24.316666666666666,10.023333333333333,14.293333333333335,28.01,4.29,79.12333333333333,2.84,30.48,6.086666666666666,41.70666666666667,45.04,826.21,0.651534610162057,28.3,83.6
Baglung,1986,487.19,-0.5714570774574292,0,15.0,22.263333333333332,8.61,13.656666666666666,32.47666666666667,4.3966666666666665,79.19666666666667,2.793333333333333,34.230000000000004,6.890000000000001,45.43333333333334,19.92,612.03,-0.12110523307533784,28.3,83.6
Baglung,1987,605.94,-0.14307449558965135,0,15.363333333333335,22.666666666666668,9.113333333333333,13.546666666666667,32.276666666666664,4.403333333333333,79.31,2.7533333333333334,34.29,6.789999999999999,37.663333333333334,42.65,487.19,-0.5714570774574292,28.3,83.6
Baglung,1988,798.3100000000001,0.5508872498748066,0,16.123333333333335,23.526666666666667,9.556666666666667,13.973333333333334,33.65,4.863333333333333,79.20333333333333,2.78,81.52000000000001,8.043333333333335,37.84666666666667,23.31,605.94,-0.14307449558965135,28.3,83.6
Baglung,1989,555.68,-0.32438404139743704,0,15.896666666666667,23.516666666666666,9.256666666666666,14.263333333333334,28.876666666666665,4.2299999999999995,79.14,2.8433333333333333,54.67,6.413333333333334,42.43666666666667,54.86,798.3100000000001,0.5508872498748066,28.3,83.6
Baglung,1990,820.4100000000001,0.6306115030055679,0,15.160000000000002,22.093333333333334,8.966666666666667,13.126666666666665,36.62,5.116666666666666,79.19666666666666,2.736666666666667,33.17,7.403333333333333,36.99666666666667,32.519999999999996,555.68,-0.32438404139743704,28.3,83.6
Baglung,1991,424.9,-0.7961640334535882,0,16.293333333333333,23.876666666666665,9.566666666666668,14.306666666666667,26.756666666666664,3.893333333333333,79.28333333333335,2.86,40.51,7.033333333333334,40.806666666666665,8.76,820.4100000000001,0.6306115030055679,28.3,83.6
Baglung,1992,502.93,-0.5146760935534391,0,16.343333333333334,24.046666666666667,9.823333333333332,14.223333333333334,26.456666666666667,3.9133333333333336,79.23,3.0033333333333334,18.27,6.286666666666666,39.78666666666667,34.43,424.9,-0.7961640334535882,28.3,83.6
Baglung,1993,466.56,-0.6458784051537009,0,14.786666666666667,22.076666666666664,8.583333333333334,13.493333333333334,34.39666666666667,4.6433333333333335,79.28,2.7866666666666666,71.62,7.09,37.37,8.35,502.93,-0.5146760935534391,28.3,83.6
Baglung,1994,475.24,-0.614565893064334,0,16.27,23.930000000000003,9.700000000000001,14.223333333333334,27.333333333333332,4.146666666666667,79.27,2.8800000000000003,13.32,7.403333333333333,32.62,20.73,466.56,-0.6458784051537009,28.3,83.6
Baglung,1995,535.74,-0.3963162408285399,0,16.19,23.73,9.536666666666667,14.193333333333333,28.08,4.25,79.26666666666667,2.91,26.57,6.126666666666666,34.92666666666667,20.060000000000002,475.24,-0.614565893064334,28.3,83.6
Baglung,1996,460.23,-0.668713451412421,0,16.209999999999997,23.673333333333336,9.486666666666666,14.186666666666667,32.153333333333336,4.723333333333334,79.19,2.8166666666666664,71.80000000000001,6.56,41.3,61.54,535.74,-0.3963162408285399,28.3,83.6
Baglung,1997,259.9,-1.3913903577330267,1,14.733333333333334,21.923333333333336,8.433333333333334,13.49,32.656666666666666,4.329999999999999,79.29666666666667,2.7433333333333336,38.79,6.363333333333333,29.343333333333334,4.21,460.23,-0.668713451412421,28.3,83.6
Baglung,1998,574.51,-0.2564560917842137,0,15.613333333333335,22.853333333333335,9.416666666666666,13.436666666666667,35.64,5.1066666666666665,79.33,2.7266666666666666,48.11,6.446666666666666,37.693333333333335,21.48,259.9,-1.3913903577330267,28.3,83.6
Baglung,1999,286.89,-1.2940257608099839,1,16.826666666666668,24.703333333333333,10.093333333333334,14.613333333333335,25.22,4.02,79.11333333333333,2.866666666666667,56.42,8.193333333333333,32.04666666666667,10.940000000000001,574.51,-0.2564560917842137,28.3,83.6
Baglung,2000,611.2,-0.12409940185807657,0,15.883333333333335,23.116666666666664,9.603333333333333,13.513333333333334,31.27333333333333,4.843333333333333,79.15333333333334,2.7600000000000002,59.97,6.489999999999999,31.77333333333333,6.32,286.89,-1.2940257608099839,28.3,83.6
Baglung,2001,527.13,-0.42737623265912156,0,15.603333333333333,22.613333333333333,9.473333333333334,13.143333333333333,35.88,5.366666666666667,79.23666666666666,2.6733333333333333,71.9,7.706666666666666,30.006666666666664,0.31,611.2,-0.12409940185807657,28.3,83.6
